,text,image_caption,surface_message,background_knowledge,A,B,C,D,answer,expert_label,prompt,result_text,predicted_answer
2306,mooch in his natural habit.,The image shows Michelle Obama working in a garden.,The image shows Michelle Obama working in a garden. The author describes the image as mooch in his natural habit.,"A ""mooch"" is a slang term for a beggar or a homeless person.  African Americans are often stereotyped as poor and lower-class.",Black people are poor and homeless.,Michelle Obama is portrayed as a beggar or homeless person.,"Michelle Obama, as an African American, is portrayed as a beggar or homeless person.",Michelle Obama is a beggar or homeless person.,A,H,nan,nan,n
2307,latinos for me! that's like roaches for raid!.,An image of Donald Trump talking into a microphone.,An image of Donald Trump talking into a microphone. The person in the meme says that latinos for me! that's like roaches for raid!.,Raid is the name of a bug spray that kills roaches. Donald Trump's immigration policies are harmful to Latinos.,Latinos should not support Donald Trump.,"Donald Trump's immigration policies are harmful to Latinos, just like Raid is harmful to roaches.","Donald Trump's policies are harmful to Latinos, just like Raid is harmful to roaches.",Donald Trump's immigration policies are harmful to Latinos.,A,H,nan,nan,n
2308,i suffer from that disorder where i speak the truth and it pisses people off.,The image shows two men.  The one in the foreground is Caucasian and has a cigarette in his mouth.  The man behind him is African American.,The image shows two men.  The one in the foreground is Caucasian and has a cigarette in his mouth.  The man behind him is African American. The author describes the image as i suffer from that disorder where i speak the truth and it pisses people off.,"A disorder refers to a mental issue that can cause strange or compulsive behavior.  To ""piss someone off"" means to make them angry.","The author is saying that they have a mental disorder that causes them to speak the truth, which often angers people.","The meme is joking that they always say the truth, and the truth makes people angry.",The meme is suggesting that speaking the truth can be offensive or angering to others.,"The author is saying that he has a mental disorder that makes him tell the truth, which angers people.",B,N,nan,nan,n
2309,sooo gorillas really are humans.,It is an image of a gorilla making a phone call.,It is an image of a gorilla making a phone call. The author describes the image as sooo gorillas really are humans.,Some people assume that gorillas are humans.,Gorillas are humans.,"Gorillas are not humans, but this meme is making fun of the idea that they are.",Gorillas are not humans.,The author is making fun of the idea that gorillas are humans.,A,N,nan,nan,n
2310,the best thing about pulling a transgender. you know it will do anal.,A woman that is of Asian descent sits in a room with a lot of furniture and religious icons from East or Southeast Asia.,A woman that is of Asian descent sits in a room with a lot of furniture and religious icons from East or Southeast Asia. The person in the meme says that the best thing about pulling a transgender. you know it will do anal.,"Transgender people are those that attempt to change their gender. Some people refer to transgender individuals as ""it"" which may be considered transphobic.",All transgender people like to have anal sex.,Transgender individuals are good for anal sex.,Transgender people are only good for anal sex.,"The author is making a derogatory comment about transgender individuals, implying that they are only good for anal sex.",A,H,nan,nan,n
2311,"what a long day. i can't wait to get in the pool with my online friends on habbo hotel on this date, july 12, 2006 what the fuck do you mean, ""pool's closed""? i fucking hate niggers.","It is two images. In the first, a dog is on the computer. In the second, the dog is laying down on the computer with a sad expression.","It is two images. In the first, a dog is on the computer. In the second, the dog is laying down on the computer with a sad expression. The author describes the image as what a long day. i can't wait to get in the pool with my online friends on habbo hotel on this date, july 12, 2006 what the fuck do you mean, ""pool's closed""? i fucking hate niggers.",Habbo Hotel was an online hangout game in the 2000s.,"The author is expressing frustration and anger at being unable to access a feature of the game they were looking forward to, and using a racial slur to express their frustration.","The last statement saying the n-word has very little to do with Habbo Hotel, but rather was spoken out of frustration. The n-word should not be said because it is racist.",The author is expressing frustration and using offensive language.,The author is expressing frustration and using a racial slur.,B,H,nan,nan,n
2312,#usher and i have something in common we both got burned,The first image is a picture of a burnt red car. The second image is a picture of a burnt piece of toast with a frowny face in the middle of the toast.,"The first image is a picture of a burnt red car with the caption ""#usher and i have something in common"". The second image is a picture of a burnt piece of toast with a frowny face in the middle of the toast with the caption ""we both got burned"".","Singer Usher made a song named ""Burned"" about the breakup of a relationship. The word ""burned"" can be be used as a metaphor for experiencing something negative or disappointing.","The meme is making fun of Usher's song ""Burned"" and comparing it to a burnt piece of toast.","Like Usher, who was metaphorically burned, the car and toast in the meme also got burned. ","The author is comparing their negative experience with a burnt car to Usher's song about a breakup, suggesting that both situations involve feeling ""burned"" or disappointed.",The author is comparing their own negative experience to Usher's song about a breakup.,B,N,nan,nan,n
2313,the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel.,"It is 2 images, one above the other. The top image is of an African American boy looking at the camera and the bottom image is of a chimpanzee smiling at the camera.","It is 2 images, one above the other. The top image is of an African American boy looking at the camera and the bottom image is of a chimpanzee smiling at the camera. The person in the meme says that the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel.","Black people are compared to chimpanzees in order to dehumanize them. ""Retard"" is a slur used against intellectually disabled people or to insinuate that a person is intellectually disabled person. ""Nibba"" is a common misspelling of a racial slur used against black people. DC and Marvel are cinematic universes and people usually prefer Marvel over DC. ",The African American boy is compared to a chimpanzee and insulted for his opinion on DC vs.,The meme is hateful towards this child on the basis of his race as a black person.,"The author is comparing the African American boy to a chimpanzee and calling him an ""uglyass retarded nibba"" because he prefers DC over Marvel.",Black people are less attractive than chimpanzees and are intellectually disabled.,B,H,nan,nan,n
2314,and so it begins... pedophelia was always the end game of gay marriage; we christians tried to warn you.,"It is an image of two men sitting at a table, one with a child in his lap and the other kissing it.","It is an image of two men sitting at a table, one with a child in his lap and the other kissing it. The author describes the image as and so it begins... pedophelia was always the end game of gay marriage; we christians tried to warn you.",Gay men are stereotyped as being pedophiles.,The author is trying to convey that gay marriage will lead to pedophilia.,The author is implying that gay marriage will lead to pedophilia.,Gay marriage will lead to pedophilia.,It is implying that all gay men are pedophiles.,D,H,nan,nan,n
2315,sour candy will have you like .,It is an image of a baby boy with his mouth open and teeth missing.,It is an image of a baby boy with his mouth open and teeth missing. The author describes the image as sour candy will have you like .,"Candy is assumed to cause permanent damage to teeth, which causes teeth to fall out.",The candy caused the boy to lose teeth.,Sour candy will cause teeth to fall out.,Sour candy is dangerous for teeth.,Sour candy will make you lose your teeth.,A,N,nan,nan,n
2316,i'm a firm believer in the seperation of islam and the planet.,It is an image of a knight wearing chain-mail armor and a helmet holding a sword and shield.,It is an image of a knight wearing chain-mail armor and a helmet holding a sword and shield. The person in the meme says that i'm a firm believer in the seperation of islam and the planet.,"There is political notion of separation of religion and state, under which the government does not enforce nor restrict religious activity of people. Islamophobia is the belief that the religion of Islam is immoral.","The author believes that Islam should be separated from the planet, suggesting that they are Islamophobic.",The author believes that Islam should not be allowed on Earth.,The meme is saying that the religion of Islam should be removed from all of Earth.,The meme is promoting Islamophobia and suggesting that people of the Islamic faith should not be allowed on Earth.,C,H,nan,nan,n
2317,anything that doesn't belong to them black people.,It is an image of a white child staring at a bowl of soap.,It is an image of a white child staring at a bowl of soap. The author describes the image as anything that doesn't belong to them black people.,Black people are stereotyped as thieves.,Black people are stereotyped as thieves.,It is making fun of Black people and implying they are always tempted to steal what isn't theirs.,Black people are thieves who steal anything that doesn't belong to them.,Black people are thieves.,B,H,nan,nan,n
2318,dss.,It is an image of a baby sitting in front of an open dishwasher.,It is an image of a baby sitting in front of an open dishwasher. The author describes the image as dss.,"Babies are naturally curious. Dishwashers are devices that can be dangerous, especially to babies.",Babies will hurt themselves if unwatched.,Babies should be kept away from dishwashers due to the potential danger.,Babies should be kept away from dishwashers.,Babies are curious and can get into dangerous situations.,A,N,nan,nan,n
2319,this one's called dirty deeds done with sheep.,It is an image of a Muslim man playing a guitar-like instrument.,It is an image of a Muslim man playing a guitar-like instrument. The person in the meme says that this one's called dirty deeds done with sheep.,Muslims are stereotyped as having romantic relations with animals.,It is making fun of people who attempt to have romantic relationships with animals.,Muslims are stereotyped as having romantic relations with animals.,The meme is trying to portray an offensive image for Muslims as they are known to have sexual intercourse with sheep.,Muslims are associated with inappropriate behavior.,A,H,nan,nan,n
2320,laughs in [majority of u.s crime rate].,It is a picture of two African Americans laughing.,It is a picture of two African Americans laughing. The author describes the image as laughs in [majority of u.s crime rate].,African Americans are stereotyped as disproportionately contributing to America's crime.,African Americans are responsible for most crime in the U.S.,African Americans are responsible for the majority of crime in the U.S.,It is spreading dislike and distrust for African Americans.,African Americans are responsible for most of the crime in the U.S.,C,H,nan,nan,n
2321,interviewer: can you demonstrate your problem solving abilities ? me:.,It is an image of a person's head and shoulders with a smoke cloud obstructing their face.,It is an image of a person's head and shoulders with a smoke cloud obstructing their face. The author describes the image as interviewer: can you demonstrate your problem solving abilities ? me:.,Hiding is generally associated a with a lack of confidence or ability.,The person in the meme is unable to demonstrate their problem-solving abilities due to their lack of confidence or ability.,The person is trying to disappear when asked to do problem-solving.,The person in the meme is unable to demonstrate their problem-solving abilities.,The author is suggesting that they are unable to demonstrate their problem-solving abilities.,B,N,nan,nan,n
2322,i did the math we cant afford the cat,"It is an image of a golden retriever dog wearing glasses. It is laying on the floor of a library with a book open under its paws. There are no specific races, religions, genders, sexualities, or celebrities present in the image.","It is an image of a golden retriever dog wearing glasses. It is laying on the floor of a library with a book open under its paws. The dog in the image says that ""i did the math we cant afford the cat"".",There is a stereotype that dogs and cats do not get along.,The dog is saying that they cannot afford a cat because of the stereotype that dogs and cats do not get along.,The dog is trying to say that they cannot afford a cat because they are expensive to maintain.,The dog is saying that they cannot afford a cat because they are too expensive.,The dog does not want its owner to get a cat.,D,N,nan,nan,n
2323,'slavery reparations' has there ever been a more blatant attempt to buy the 'black' vote?.,It is an image of Democratic presidential candidate Kamala Harris smiling.,It is an image of Democratic presidential candidate Kamala Harris smiling. The person in the meme says that 'slavery reparations' has there ever been a more blatant attempt to buy the 'black' vote?.,"1. Kamala Harris is the first African-American Vice President of the United States. 2. Slavery reparations is a policy by which black people whose ancestors were slaves are given reparations, which is a popular policy among black voters.",Kamala Harris is using slavery reparations as a way to gain the support of the African-American community.,Kamala Harris is using slavery reparations as a way to gain support from the black community.,Kamala Harris is trying to buy the 'black' vote by supporting slavery reparations.,Kamala Harris only promotes slavery reparations because she wants to win over black voters.,D,H,nan,nan,n
2324,when germans try to dab.,"In the image, there is a twilight or early evening scene with a row of vertical poles evenly spaced in a grassy field. Behind the field, there's a house partially obscured by a tree, with forested hills in the background. The sky above is a deep blue, indicating early night or late evening.","In the image, there is a twilight or early evening scene with a row of vertical poles evenly spaced in a grassy field. Behind the field, there's a house partially obscured by a tree, with forested hills in the background. The sky above is a deep blue, indicating early night or late evening. The author describes the image as when germans try to dab.","1. Understanding of the stereotype that Germans are not good at dancing or being flexible. 2. Familiarity with the dance move ""dabbing."" 3. Awareness of the cultural context of Germans being portrayed as more serious and rigid.","Germans are not good at dancing or being flexible, as demonstrated by their attempt to dab in this image.","Germans are not good at dancing or being flexible, as shown by their attempt to dab in this image.",Germans are not good at dancing or being flexible.,Germans can't dance and are stiff as poles.,D,N,nan,nan,n
2325,voting for hillary is like letting casey anthony watch your kids because she's not guilty,The first image is a picture of Hillary Clinton. The second image is a picture of a white woman.,"The first image is a picture of Hillary Clinton with the caption ""voting for hillary is like"". The second image is a picture of a white woman with the caption ""letting casey anthony watch your kids because she's not guilty"".",Hillary Clinton was a presidential candidate. Hillary Clinton was accused of several crimes but was not found guilty for any crime. Casey Anthony was accused of killing her daughter but was found not guilty. ,People should not vote for Hillary Clinton because she was accused of crimes. ,Voting for Hillary Clinton is as risky as letting Casey Anthony watch your kids because she's not guilty.,Voting for Hillary Clinton is like trusting someone who was accused of crimes but not found guilty.,Voting for Hillary Clinton is like trusting someone who has been accused of crimes but not found guilty.,A,N,nan,nan,n
2326,rich theft '' ''.,It is an image of Chris Rock doing a standup comedy set.,It is an image of Chris Rock doing a standup comedy set. The author describes the image as rich theft '' ''.,Chris Rock is a famous American comedian.,Chris Rock's comedy is stealing from the rich.,The meme is making fun of Chris Rock's wealth.,The author is making a joke about Chris Rock stealing from the rich.,"The author wants the user to be aware of the phrase ""rich theft.""",D,N,nan,nan,n
2327,when you wanna delete google chrome but you accidentally delete your chromosome.,It is an image of white woman with a chromosomal disorder. .,It is an image of white woman with a chromosomal disorder. . The author describes the image as when you wanna delete google chrome but you accidentally delete your chromosome.,Google Chrome is a web browser. Chromosomal disabilities can make a person handicapped. ,It is funny to mock those with chromosomal disabilities. ,"Deleting Google Chrome is a mistake, but deleting a chromosome would be a much bigger mistake.",The meme is making fun of people with chromosomal disorders.,The author is making fun of people with chromosomal disorders.,A,H,nan,nan,n
2328,in alcohols defense i've made some pretty shitty decisions while sober.,It is a close-up image of a chimpanzee's face looking at the camera. .,It is a close-up image of a chimpanzee's face looking at the camera. . The person in the meme says that in alcohols defense i've made some pretty shitty decisions while sober.,The understanding is that many people often blame alcohol for their poor choices. ,Alcohol is not the only reason for making bad decisions; people can make poor choices while sober as well.,Alcohol is not the only reason for making bad decisions.,"The author is saying that even without alcohol, they have made bad decisions.","The image implies that sometimes, regardless of whether alcohol or not, the person would have made a poor decision either way. ",D,N,nan,nan,n
2329,this story touched my heart twins separated at birth find eachother after 50 yrs.,It is an image of a man with crazy white hair and a outfit on the top and a monkey with crazy white hair on the bottom.,It is an image of a man with crazy white hair and a outfit on the top and a monkey with crazy white hair on the bottom. The author describes the image as this story touched my heart twins separated at birth find eachother after 50 yrs.,Monkey is a derogatory term to describe someone who is below human.,The story of two people who were separated at birth and found each other after 50 years is heartwarming.,This man is a monkey.,The meme is trying to portray an offensive image for black people as they are often compared to monkeys or other primates in order to dehumanize them and make fun of their darker skin.,The meme is making fun of the idea of twins separated at birth finding each other after 50 years.,B,H,nan,nan,n
2330,no little asian don't eat them raw.,"It is an image of a paper poster with a picture of a dog and the caption ""LOST DOG"".","It is an image of a paper poster with a picture of a dog and the caption ""LOST DOG"". The author describes the image as no little asian don't eat them raw.",A stereotype about Asian people is that they all eat dogs.,The meme is making fun of the stereotype that all Asian people eat dogs.,Asian people eat dogs.,The meme is perpetuating a stereotype about Asian people and their supposed consumption of dogs.,"The author is making a joke about the stereotype that Asian people eat dogs, suggesting that the dog in the poster should not be eaten raw.",B,N,nan,nan,n
2331,i just came here to read the comments jus kiddin im blind motherfucker.,It is two images of Stevie Wonder.,It is two images of Stevie Wonder. The person in the meme says that i just came here to read the comments jus kiddin im blind motherfucker.,Stevie Wonder is blind.,Stevie Wonder is blind.,Stevie Wonder is blind and jokes about it.,The meme is making fun of Stevie Wonder's blindness.,Stevie Wonder is blind and it's funny.,A,H,nan,nan,n
2332,it's the cowboy way of doin things.,It is an image of a man wearing a cowboy hat and a leather jacket and holding a rifle.,It is an image of a man wearing a cowboy hat and a leather jacket and holding a rifle. The person in the meme says that it's the cowboy way of doin things.,Cowboys are known for using guns and wearing cowboy hats.,The cowboy way of doing things involves using guns and violence.,The cowboy way of doing things involves using guns.,Shooting guns is the cowboy way of doing things.,The meme is suggesting that the cowboy way of doing things involves using a gun.,C,N,nan,nan,n
2333,glad she put the paper up someone might recognise her.,It is an image of a white woman covering her face with a newspaper. .,It is an image of a white woman covering her face with a newspaper. . The author describes the image as glad she put the paper up someone might recognise her.,Newspapers can be used to block one's face.,The woman is hiding her identity because she is ashamed of something she did.,The woman is hiding her identity.,The woman is trying to hide her identity.,Don't block your face with a newspaper when others are present as it is rude. ,D,N,nan,nan,n
2334,"mark zuckerberg's wife, priscilla chan is a man.",Three images of Mark Zuckerberg posing and smiling for photos at different venues with his wife.,"Three images of Mark Zuckerberg posing and smiling for photos at different venues with his wife. The author describes the image as mark zuckerberg's wife, priscilla chan is a man.",1. Understanding of who Mark Zuckerberg is and who he is married to. 2. Understanding of people’s derogatory comments about women’s bodies and the attempt to insult them by saying they look like a man. ,"The author is trying to insult Priscilla Chan by suggesting she looks like a man, which is often used as a derogatory comment towards women.",Priscilla Chan is not a traditional woman because she is not feminine enough.,The author is trying to insult Priscilla Chan by saying she looks like a man.,The meme is insulting Priscilla Chan by saying that she looks masculine or unattractive.,D,N,nan,nan,n
2335,proof you can be a fruit and a vegetable.,It is an image of many red tomatoes.,It is an image of many red tomatoes. The author describes the image as proof you can be a fruit and a vegetable.,Tomatoes are fruits in one context and vegetables in another. The contexts are culinary and botany.,Tomatoes can be both a fruit and a vegetable depending on the context.,Tomatoes are both fruits and vegetables.,Tomatoes are both a fruit and a vegetable.,Tomatoes can be both a fruit and a vegetable.,C,N,nan,nan,n
2336,ban the burka you must be fucking joking.,It is an image of 5 smiling African girls wearing burkas.,It is an image of 5 smiling African girls wearing burkas. The person in the meme says that ban the burka you must be fucking joking.,"Some women wear burkas for religious or cultural reasons. Some people want to ban it as well, but many people who wear it support it.",The people wearing burkas are not the people advocating for its removal.,Banning the burka is a ridiculous idea and an attack on cultural and religious freedom.,The meme is making fun of people who want to ban the burka.,The meme is arguing against banning the burka.,A,N,nan,nan,n
2337,there's a 50% chance this phone is stolen.,"The image shows a racy photo of an African American woman with albinism, who is not associated with any specific religion or celebrities.","The image shows a racy photo of an African American woman with albinism, who is not associated with any specific religion or celebrities. The author describes the image as there's a 50% chance this phone is stolen.",This requires understanding that albinism makes black people look white and understanding that black people are associated with theft. ,Black people steal.,The meme is making fun of black people and people with albinism.,The meme is making fun of the woman's appearance and associating her with theft.,Black people are thieves.,A,H,nan,nan,n
2338,how to pick up a girl from auschwitz:.,It is an image of a white man and woman sitting at a table eating food.,It is an image of a white man and woman sitting at a table eating food. The author describes the image as how to pick up a girl from auschwitz:.,Knowledge of the Holocaust and its historical significance.,"The Holocaust is a sensitive and tragic event, and using it as a metaphor for picking up women is inappropriate and offensive.",You can pick up girls from the Auschwitz camp. by taking them out for dinner.,The meme is trying to make a joke about the Holocaust and the suffering of the people in Auschwitz.,The meme is making a tasteless joke about the Holocaust and using it as a way to pick up women.,B,N,nan,nan,n
2339,"adam, you know what they do with traitors #treason dontcha?.","A white man, US representative Adam Schiff, is questioned in Congress. There are no specific religions or sexual orientations shown. .","A white man, US representative Adam Schiff, is questioned in Congress. There are no specific religions or sexual orientations shown. . The author describes the image as adam, you know what they do with traitors #treason dontcha?.","This requires understanding the concept of treason, which refers to betraying one's country or committing acts against its interests. ","The author is accusing Adam Schiff of treason, suggesting that he is betraying his country or acting against its interests.",Adam Schiff is a traitor.,Adam Schiff is guilty of treason. ,The meme is accusing Adam Schiff of treason.,C,N,nan,nan,n
2340,anyone who has seen a hippo yawn will have some idea how kim kardashiains gynecologist feels.,It is an image of a hippo lying down in water and yawning.,It is an image of a hippo lying down in water and yawning. The author describes the image as anyone who has seen a hippo yawn will have some idea how kim kardashiains gynecologist feels.,Knowledge of who Kim Kardashian is and her fame and understanding of the concept of a gynecologist and their profession,The feeling of a gynecologist who has seen Kim Kardashian naked is similar to the feeling of someone who has seen a hippo yawn.,The meme is comparing the feeling of a gynecologist who has seen Kim Kardashian's private parts to the feeling of someone who has seen a hippo yawn.,Kim Kardashian's gynecologist must feel like a hippo yawning.,Kim Kardashian has had a lot of sex.,D,N,nan,nan,n
2341,it's hard but it's worth it.,It's an image of a dad helping his daughter with walking or running. .,It's an image of a dad helping his daughter with walking or running. . The author describes the image as it's hard but it's worth it.,1. Understand the challenges of raising kids.,"Parenting can be challenging, but the rewards and personal growth make it worth the effort.","It's hard to raise kids, but it's worth the effort",Parenting is challenging but rewarding.,The challenges of parenting are worth it for the bond and growth of the child.,B,N,nan,nan,n
2342,see? i fuckin told you! a little foil on top keeps them jewsy.,It is an image of 4 meatballs in a bowl of soup with light green seasoning.,It is an image of 4 meatballs in a bowl of soup with light green seasoning. The author describes the image as see? i fuckin told you! a little foil on top keeps them jewsy.,"""a little foil on top keeps then jewsy"" Likely references how Jewish people died during the Holocaust by the Nazis by being thrown into ovens to be burned alive.",The author is making a tasteless joke about the Holocaust by comparing it to a simple cooking technique.,The meme is making fun of the Holocaust and Jewish people.,Jewish people were burned alive by the Nazis.,The author is making a tasteless joke about the Holocaust.,C,N,nan,nan,n
2343,i made a website for orphans it doesn't have a home page.,It is an image of a white woman carrying bags and walking on a railroad.,It is an image of a white woman carrying bags and walking on a railroad. The author describes the image as i made a website for orphans it doesn't have a home page.,Many orphans do not have homes.,The author's website for orphans is not very well-designed or functional.,The meme is making fun of orphans.,The author is saying that the website for orphans is not helpful because it doesn't have a home page.,The website for orphans is not helpful because it doesn't have a home page.,B,N,nan,nan,n
2344,he was big and black my ass had no choice.,It is an image of a Pitbull wearing sunglasses and a suit.,It is an image of a Pitbull wearing sunglasses and a suit. The person in the meme says that he was big and black my ass had no choice.,Knowledge of Pitbull and of the stereotypes of big black men.,The stereotype of big black men is being used to make a joke about Pitbull's size and race.,The meme is making fun of the stereotype of big black men.,The author is making a joke about the stereotype of big black men being aggressive and dominant.,Pitbull can't help being attracted to big black men.,D,N,nan,nan,n
2345,white people be like: outside inside.,"The first image is of a child's doll with orange hair, white skin, overalls, and a colorful shirt. The second image is of a similar doll wearing different clothes with a cut and bloodied face.","The first image is of a child's doll with orange hair, white skin, overalls, and a colorful shirt. The second image is of a similar doll wearing different clothes with a cut and bloodied face. The author describes the image as white people be like: outside inside.",It is common for people to experience emotional or mental issues and hide them.,White people often have an appearance of having things together but have mental or emotional issues they are hiding.,"The author is suggesting that white people hide their true feelings or emotions, just like the doll with the bloodied face is hidden underneath the doll with the unblemished face.","White people hide their true feelings and emotions, pretending to be happy and perfect on the outside, while struggling on the inside.",White people hide their problems and pretend everything is fine.,A,H,nan,nan,n
2346,"i married my brother to commit immigration fraud this makes her an illegal alien, ineligible for congress and deportable! ice, where are you?","It is an image of Ilhan Omar, a Muslim woman from Somalia elected to Congress.","It is an image of Ilhan Omar, a Muslim woman from Somalia elected to Congress. Ilhan Omar says ""i married my brother to commit immigration fraud"". The author notes that ""this makes her an illegal alien, ineligible for congress and deportable! ice, where are you?"".",Some have claimed that Ilham Omar married her brother to commit immigration fraud.,Ilhan Omar is an illegal alien who should be deported.,Ilhan Omar should be deported and is not eligible to serve in Congress.,Ilhan Omar is an illegal alien and should be deported.,The meme is making fun of immigrants and spreads unfounded claims.,D,N,nan,nan,n
2347,goes on ancestry.com instead of match.com,The image shows an elderly white woman on a laptop.,The woman depicted went to ancestry.com instead of match.com.,"Match.com is a dating site and ancestry.com is a family history site. White people, especially Southerners, are the butt of many incest jokes. The joke is that the old lady is using a family history site to find possible dates. ",White people are incestuous.,"The woman is using a family history site to find potential romantic partners, implying that she is looking for someone related to her.","The woman is using ancestry.com to find potential romantic partners, implying that she is looking for someone within her family lineage.","The woman is looking for a date by searching her family history, implying she might be looking for a relative to date.",A,N,nan,nan,n
2348,when i try to fit in with other people.,The image shows a brick wall with a missing brick in the middle.,The image shows a brick wall with a missing brick in the middle. The author describes the image as when i try to fit in with other people.,"""Fitting in"" is a concept relating to conforming with societal norms and being accepted by society.","The author feels like they don't fit in with others, and they are different from the rest.","The meme is suggesting that the person trying to fit in is not successful, as represented by the missing brick.",The author feels like they don't fit in with others.,The meme is joking that the author cannot fit in.,D,N,nan,nan,n
2349,she probably have asked a wrong question.,It is an image of a woman in a dress leaning against a wall. .,It is an image of a woman in a dress leaning against a wall. . The author describes the image as she probably have asked a wrong question.,1. People get frustrated when they do the wrong thing 2. Leaning headfirst to a wall might make the person seem disappointed ,The woman in the image asked the wrong question and looked disappointed,The woman in the image is likely feeling disappointed or frustrated because she asked a wrong question.,The woman in the meme is likely feeling disappointed or frustrated.,The woman is feeling disappointed or upset because she asked a wrong question.,A,N,nan,nan,n
2350,happy and stupid,An image of a young white couple holding hands and smiling while wearing old-fashioned clothing.,This image depicts a couple appearing both happy and stupid.,1. Some people believe traditional concepts of love are childish and stupid 2. Some people believe overly loving old-fashioned couples are distasteful and unintelligent.,Traditional love and couples who express it are childish and unintelligent.,Love and intelligence are incompatible.,"The author is suggesting that the couple in the image is both happy and stupid, implying that being in love is akin to being foolish.","It is naive, old-fashioned, and foolish to believe in a happy loving relationship.",D,N,nan,nan,n
2351,that's why we bomb you.,It is an image of a Muslim man standing with his arms crossed.,It is an image of a Muslim man standing with his arms crossed. The person in the meme says that that's why we bomb you.,Muslims are often stereotyped as being terrorists due to previous attacks carried out by Muslims such as those on 9/11.,The meme is promoting the stereotype that all Muslims are terrorists.,Muslims are terrorists and deserve to be bombed.,Muslims are terrorists.,The author is suggesting that all Muslims are terrorists and deserve to be bombed.,C,H,nan,nan,n
2352,the obama's with empire star jussie smollett.,"It is an image of Barack Obama, Michelle Obama, and a short man standing nexto them. .","It is an image of Barack Obama, Michelle Obama, and a short man standing nexto them. . The author describes the image as the obama's with empire star jussie smollett.","Barack Obama and Michelle Obama were US president and First Lady, respectively. Jussie Smollett is an American actor.","The Obamas are associated with Jussie Smollett, who is known for his role in the TV show Empire.",The Obamas are friends with Jussie Smollett.,The short guy in the photo is like Jussie Smollett. ,The meme is making fun of Jussie Smollett's alleged involvement in a hate crime hoax.,C,N,nan,nan,n
2353,life handed me lemons so i fucked them and gave them lemon-aids.,It is an image of a monkey eating lemons. There are no religions or sexual orientations pictured. .,It is an image of a monkey eating lemons. There are no religions or sexual orientations pictured. . The author describes the image as life handed me lemons so i fucked them and gave them lemon-aids.,"This requires understanding ""fucked"" to mean insert one's penis into and understanding that AIDS is a STD. ","Life gave me a bad situation (lemons), so I made the best of it and turned it into something else (lemon-aids).","Life gave me a bad situation, so I made the best of it and turned it into something else.",Lemon AIDS rhymes with lemonade.  ,The author is saying that life gave them a bad situation (lemons) and they turned it into something worse (lemon-aids).,C,N,nan,nan,n
2354,the book about terrorism.,"It is an image of 6 old encyclopedias. There are no specific races, genders, sexual orientations, or celebrities present in the image.","It is an image of 6 old encyclopedias. There are no specific races, genders, sexual orientations, or celebrities present in the image. The author describes the image as the book about terrorism.",This requires understanding what terrorism is. ,The author is suggesting that the encyclopedias are a source of information about terrorism.,"The image is a metaphor for the idea that knowledge is power, and that by understanding terrorism, we can combat it.",The encyclopedia is about terrorism. ,The meme is suggesting that the encyclopedias are a source of information about terrorism.,C,N,nan,nan,n
2355,"i don't always talk to obama voters but when i do, i ask for large fries.",It is an image of a man reading a book.,"It is an image of a man reading a book. The person in the meme says that i don't always talk to obama voters but when i do, i ask for large fries.","Obama voters refer to people who voted for Barack Obama for president. Fries are a common fast food item. To order food, you usually have to talk to someone who works at the restaurant.",People who voted for Obama work in the fast food service industry.,"When talking to Obama voters, the person in the meme jokes about asking for large fries, implying that the conversation is not serious or important.",Talking to Obama voters is like ordering fast food.,The meme is making fun of people who talk to Obama voters.,A,N,nan,nan,n
2356,no image.,It is an image of the back of a woman sitting in a wheelchair. Only one leg is visible.,It is an image of the back of a woman sitting in a wheelchair. Only one leg is visible. The author describes the image as no image.,Disabled people are often ignored and made fun of by ableist people,The meme is making fun of disabled people by not even showing them in the image.,The meme is making fun of disabled people.,"The meme makes fun of disabled people and implies they are ""invisible"" in society",The author is making fun of the woman in the wheelchair by saying there is no image.,C,N,nan,nan,n
2357,dad?!? the dishwasher and the sandwichmaker are on the fritz again.,There is a woman with an overflowing dishwasher.,There is a woman with an overflowing dishwasher. The person in the meme says that dad?!? the dishwasher and the sandwichmaker are on the fritz again.,1. Familiarity with the concept of a dishwasher and a sandwich maker as kitchen appliances. 2. Understanding of the role of a father or father figure in providing assistance or guidance. 3. Awareness of the common frustrations and challenges faced when dealing with malfunctioning appliances. ,The father figure is expected to provide assistance or guidance in dealing with the malfunctioning dishwasher and sandwich maker.,The dishwasher and sandwich maker have overflowed like this before and the reaction doesn't match the severity of what happened.,The father figure is expected to fix the broken appliances.,The father figure is not helpful in dealing with the broken appliances.,B,N,nan,nan,n
