text,image_caption,surface_message,background_knowledge,A,B,C,D,expert_label
when you have to race to see who gets to the playground quicker.,"It is an image of a young boy looking at a monkey. There are no specific races present in the image, but Christianity is present.","It is an image of a young boy looking at a monkey. There are no specific races present in the image, but Christianity is present. The author describes the image as when you have to race to see who gets to the playground quicker.",Understanding of the concept of competition and the desire to be the best or first.,The author is saying that the boy and the monkey are in a race to see who gets to the playground first.,The meme is making fun of the idea of competition.,You have to run fast to get to the playground as fast as possible to get the best stuff.,The meme is suggesting that the boy and the monkey are in a race to get to the playground first.,N
porch monkey 4 life.,It is an image of a white man with blue eyes looking at the camera. Behind him is two other white people. They are all looking down at the camera.,It is an image of a white man with blue eyes looking at the camera. Behind him is two other white people. They are all looking down at the camera. The author describes the image as porch monkey 4 life.,A porch monkey is a derogatory term for a black person who spends a lot of their time on their front porch.,The author is using a derogatory term to refer to themselves and their friends.,The author is using a derogatory term to refer to black people.,The meme is making fun of black people.,Black people are lazy and unhuman and spend a lot of their time lazing around.,H
a good american is a dead american., It is an image of a man passing out papers to an auditorium full of people., It is an image of a man passing out papers to an auditorium full of people. The author describes the image as a good american is a dead american.,"When people hand out papers, the papers usually contain information the paper distributor wanted others to see.",It is good when Americans die.,"The author is promoting the idea that a ""good American"" is one who is no longer alive.","The author is trying to portray someone spreading information that a good american is a dead american, which is insulting towards all americans.",Dead Americans are good Americans.,H
"when people keep calling you a terrorist, but you identify as a firework.",It is an image depicting the waist of two people wearing fully white clothing and the full body of a third person alongside their face that's covered with a white mask. Attached to the waist of the two people are bombs.,"It is an image depicting the waist of two people wearing fully white clothing and the full body of a third person alongside their face that's covered with a white mask. Attached to the waist of the two people are bombs. The author describes the image as when people keep calling you a terrorist, but you identify as a firework.",Understanding the style of the white garment which is typically worn by religious groups such as Muslims. Muslim extremist often uses bomb as a method to get attention from the crowd and get their point across. ,"The author is making a joke about how people who wear traditional Muslim clothing are often mistaken for terrorists, even though they might just be trying to express their identity or beliefs.",Muslims are terrorists.,"The meme is making a joke about the stereotype that people who wear white clothing and use bombs are terrorists, but instead, they are saying they are like fireworks, meant for entertainment.",The author is making fun of terrorist who uses bombs by referring to them as fire works,H
turns out out they were expecting something very different went gay clubbing with some friends.,A shirtless muscular man holding a baseball bat with a mask covering his face.,A shirtless muscular man holding a baseball bat with a mask covering his face. The person in the meme says that turns out out they were expecting something very different went gay clubbing with some friends.,1. Clubbing can mean to go dancing or physical hurt someone with a club. 2. Gay clubbing is going dancing with gay people,The person in the meme is saying that they expected something different when they went to a gay club.,The meme is suggesting that going to a gay club can be a violent and dangerous situation.,"The man in the meme is dressed for violence, but he's actually going dancing.",The author thought they were going to physically hurt gay people when his friends told him they were going gay clubbing.,H
love is more powerful than any other force in the world.,"It is two images: one of two people holding hands on a couch, and the other of black people being sold into slavery.","It is two images: one of two people holding hands on a couch, and the other of black people being sold into slavery. The author describes the image as love is more powerful than any other force in the world.",,"The meme is insulting atheists by arguing that disbelief does not require any thought or arguments, and is thus suitable for an unintelligent person.",People who show skin have no positive traits besides looking good.,"Converting to Islam is welcomed, but you aren't allowed to leave once you do.",Love is more powerful than slavery.,N
if he's marrying me then why's he fucking a goat.,It is an image of a deer with its tongue out.,It is an image of a deer with its tongue out. The author describes the image as if he's marrying me then why's he fucking a goat.,Bestiality is against the law and socially unacceptable. Cheating is also socially unacceptable. A goat is an insult towards a person who is lowly/ugly.,The author is saying that the person they are talking about is cheating on them with someone who is considered lowly or ugly.,Her fiance is cheating on her with an ugly girl.,The meme is making fun of cheating and comparing it to bestiality.,The person in the meme is being unfaithful and disrespectful.,H
a black man invention.,It is an image of a person holding an electric drill to a piece of wood. .,It is an image of a person holding an electric drill to a piece of wood. . The author describes the image as a black man invention.,The company Black + Decker Manufacturing Co. invented the portable electric drill in 1916.,The electric drill is a Black man's invention.,The author is making a racist joke about the invention of the electric drill.,"The author intends humor based on the expectation that the word ""black"" would refer to a person when it actually refers to a company. ",Black people are not inventive.,N
cameraman: i don't understan- psychic kid: trust me this will be really funny someday,A image of the twin towers standing,"an image of the twin towers standing with dialogue from a cameraman that says ""i dont understan-"" ",1 the twin towers collapsed in 2001 during a terrorist attack. 2 a psychic can predict the future and hence knew the twin towers would fall. 3 the attack on the twin towers is often seen a comedic premise 4 3000 people died in the attack on the twin towers,The meme is making a joke about the tragedy of the twin towers attack.,"The author is trying to convey that the twin towers falling is a comedic premise and by taking a picture of them before they fell, that picture would be funny in the future and so essentially the author is making fun of the death of 3000 people",The meme is making fun of the 9/11 terrorist attack.,The twin towers falling was a predictable event.,H
"""where did you learn to make kool-aid like that britney?""",It is an image of a man with his fist out and a woman afraid sitting in the corner.,"The man in the image says, ""where did you learn to make kool-aid like that britney?""","You make kool-aid by mixing a powder with water, then shaking the container you mixed it in vigorously. This shaking motion can be similar to that of what a woman does while sexually interacting with a man.","The author is trying to say Britney sexually interacted with another man, for which Britney might now get punished for and displayed this interaction in a funny way.",Britney is promiscuous.,Britney Spears is promiscuous.,The man is making a crude joke about Britney Spears' sexual behavior.,H
back in the day when you couldn't hide behind a computer screen.,It is an image of 2 boys fighting each other in front of a wooden fence.,It is an image of 2 boys fighting each other in front of a wooden fence. The author describes the image as back in the day when you couldn't hide behind a computer screen.,People do things they otherwise wouldn't if they can remain anonymous.,The author is suggesting that they would fight some people if they knew them in person.,"The author is saying that in the past, people had to confront each other directly, without the safety of anonymity provided by the internet.",People were more honest and confrontational in the past.,Physical fights were more common in the past because people couldn't hide behind a computer screen.,N
the i'm not black but my kids will be face.,It is an image of a white woman with a bruise on her face.,It is an image of a white woman with a bruise on her face. The person in the meme says that the i'm not black but my kids will be face.,"If a white woman has kids with a black man, their kids might be black. ",The meme is making fun of the idea that a white woman might have black children.,The meme is making fun of the idea that the woman's kids will be black because she is having kids with a black man.,The meme is making fun of the idea that a white woman's kids will be black if she has kids with a black man.,Black husbands beat white wives.,H
anyone else hate how hard these spot the difference pictures are getting?.,An image of two white women smiling who look similar.,An image of two white women smiling who look similar. The author describes the image as anyone else hate how hard these spot the difference pictures are getting?.,,Anyone with and ideology considered 'extreme' should be killed.,The meme is trying to portray an offensive image for muslims as they are known to have sexual intercourse with goats.,The women in the picture look similar.,"Everyone, no matter their race, is equal.",N
don't blame me fuel was expensive.,It is an image of an Asian lady at a reception desk standing across a hooded man.,It is an image of an Asian lady at a reception desk standing across a hooded man. The author describes the image as don't blame me fuel was expensive.,Asian people are generally very frugal.,The author is saying that the Asian lady is being frugal by not using her car.,The Asian lady is being frugal by not using her car.,The asian lady is taking a lot of money for herself.,Asian people are cheap.,N
*when they cut muslim child neck instead of dick* the bomb has been defused., It is an image of 4 young Pakistani boys standing next to each other., It is an image of 4 young Pakistani boys standing next to each other. The author describes the image as *when they cut muslim child neck instead of dick* the bomb has been defused.,"Pakistanis are people from Pakistan and they usually follow Islam so they can also be known as muslims. There are stereotypes of Muslims being involved in terrorist activities, especially those including bombings.","The author is trying to say that the muslim child whose neck got cut off was going to plant a bomb, which stereotypes Muslims as terrorists and bomb planters.",Muslim children are potential terrorists.,"The meme is suggesting that if you cut off the genitals of young Muslim boys, it will prevent them from becoming terrorists.",Muslims are terrorists.,H
"""we asked 100 normal people what do you associate with islam?"" terrorism 28 paedophilia 25 hate preaching 20 unwelcome invaders 10 excessive breeders 7 goat fuckers 5 i think the missing answer is peace? if it's there i'll give you money myself.",It is an image of 4 people standing in front of a podium playing a game show.,"It is an image of 4 people standing in front of a podium playing a game show. The author describes the image as ""we asked 100 normal people what do you associate with islam?"" terrorism 28 paedophilia 25 hate preaching 20 unwelcome invaders 10 excessive breeders 7 goat fuckers 5 i think the missing answer is peace? if it's there i'll give you money myself.",Islam is discriminated against around the world with a variety of insults such as goat fuckers.,"Islam is associated with negative things like terrorism, hate preaching, and pedophilia.","The author associates Islam with terrorism, pedophilia, hate preaching, unwelcome invaders, excessive breeders, and goat fuckers while also saying peace does associate with Islam which overall insults Islam and is very discriminatory.",Islam is associated with negative stereotypes.,People associate Islam with negative stereotypes.,H
chances are that god was black because he didn't even raise his son,A older black man sitting on a chair looking into the camera.,"an older black man looks into the camera with a caption of  ""chances are that god was black because he didnt even raise his son""",1 in Christianity it is believed that god sent his son jesus to earth to be raised by mary and joseph and help humanity. 2 there is a stereotype that black fathers always abandon their children.,"Black fathers abandon their children, and God was a black father who didn't raise his son.",Black fathers always abandon their children.,The author is trying to emphasise and poke fun at a racist stereotype by relating it to christianity.,Black fathers are absent and god was black.,H
"the islamic sacred book, believed to be the word of god as dictated to muhammad.","A picture of the Quran on a wooden table. Islam is present in this image. There are no specific genders, races, or celebrities present in this image.","A picture of the Quran on a wooden table. Islam is present in this image. There are no specific genders, races, or celebrities present in this image. The author describes the image as the islamic sacred book, believed to be the word of god as dictated to muhammad.",1. Understanding of the Islamic holy book (Quran) and its significance in Islam. 2. Familiarity with the religious figures Muhammad (Islam).,"The Quran is the Islamic holy book, believed to be the word of God as dictated to Muhammad.","The Quran is the Islamic holy book, and it is believed to be the word of God as dictated to Muhammad.",The Quran is believed to be revealed to prophet Muhammad by Allah(god).,"The Quran is the holy book of Islam, believed to be the word of God as dictated to Muhammad.",N
"""dammit i said ""glass of juice"" not ""gas the jews!!"".", It is an image of a 1940s photo of Hitler and his generals looking at a map.," It is an image of a 1940s photo of Hitler and his generals looking at a map. The person in the meme says that ""dammit i said ""glass of juice"" not ""gas the jews!!"".",Adolf Hitler was Chancellor of Germany during World War 2 and facilitated things like the Holocaust and creation of concentration camps where they killed the Jews through various methods such as using gas.,The Holocaust was a joke.,The meme is making light of the Holocaust and Hitler's actions.,Hitler and his generals were discussing the Holocaust.,The author is making fun of the Jews that died in concentration camps by gassing during the Holocaust. This is discriminatory against Jews.,H
the face he makes when he's about to tell you another war story.,It is an image of an old Caucasian man sitting in front of a window wearing a Vietnam veteran hat.,It is an image of an old Caucasian man sitting in front of a window wearing a Vietnam veteran hat. The author describes the image as the face he makes when he's about to tell you another war story.,A war story is a personal account of often traumatic events that took place during a war.,Veterans often make a particular facial expression when telling traumatic war stories.,The old man is about to share another traumatic experience from the war.,The meme is making fun of war veterans and their stories.,The author is suggesting that the old man is about to share another traumatic experience from the war.,N
dick so good it made my pussy retarded.,It is an image of  cat looking shocked and surprised.,It is an image of  cat looking shocked and surprised. The person in the meme says that dick so good it made my pussy retarded.,1 The word pussy is often used to either describe a cat or vagina.,"The author is trying to convey that the person being referred to has such a high level of sexual prowess that it has a transformative effect on the person they are with, causing them to act in a way that is considered ""retarded"" or foolish. The use of the cat in the image is meant to be a humorous and lighthearted way to emphasize this point.",The meme is making a crude joke about a cat being surprised by a man's genitalia.,The person in the meme is saying that the sexual experience was so good that it made their vagina not function properly.,A person with an intellectual disability is being mocked.,N
when republicans freed the slaves this is how democrats responded.,It is a black and white image of a Ku Klux Klan gathering.,It is a black and white image of a Ku Klux Klan gathering. The author describes the image as when republicans freed the slaves this is how democrats responded.,"The Democratic Party used to be antagonistic towards minorities, particularly against blacks. Therefore, they supported racist groups like the Ku Klux Klan which used to commit violence against blacks.",The Democratic Party has a history of supporting racist groups.,The Democratic Party is responsible for the Ku Klux Klan's actions.,The Ku Klux Klan exists because of the Democratic Party.,The author is saying that Democrats responded to the Republicans' actions of freeing slaves by supporting racist groups like the Ku Klux Klan.,N
dam baby is that ass a school? cuz i wanna shoot some kids in it.,it is an image of a straight white couple hugging.,it is an image of a straight white couple hugging. The person in the meme says that dam baby is that ass a school? cuz i wanna shoot some kids in it.,1 Semen has lots of sperm in it which can be used to create children. 2 School shootings are a prominent issue.,The meme is joking about having sex with the woman in the image and making a crude joke about school shootings.,The author is making a crude joke about having sex in a school.,"The author is saying that the man wants to shoot his sperm on ""that ass"" just like he would shoot kids in a school shooting.",The meme is making a crude joke about school shootings.,H
"bull shit, the evolved form of ape man.",It is an image of a man taking a selfie on the beach while smiling. .,"It is an image of a man taking a selfie on the beach while smiling. . The author describes the image as bull shit, the evolved form of ape man.",Human Evolution is the process by which modern humans (Homo sapiens) gradually developed. Ape man is used to describe early human ancestors. ,Humans are considered to be ape's because we evolved from them. ,Humans are not evolved from apes.,The author is mocking the idea of human evolution.,Humans have not evolved from apes.,H
"half my problems are caused by my tone of voice & sarcasm everyone thinks i'm either mad, arguing, or just an asshole while actually i'm just talking",An image of a famous actor smiling.,Overuse of sarcasm in day to day speech is a problem.,"1. Many young people overuse irony when speaking, to the point that it becomes difficult to tell when they are being serious.",The meme is suggesting that overusing sarcasm can lead to confusion and misunderstandings.,Overuse of sarcasm can lead to confusion and misunderstandings.,"People should learn to realize that using frequent sarcasm is a habit, and shouldn’t have a negative connotation.","The author is saying that overusing sarcasm can lead to confusion and misunderstandings, and that it doesn't age well.",N
"what is up with black people they're not black, or people.",It is an image of a smiling Caucasian man wearing glasses.,"It is an image of a smiling Caucasian man wearing glasses. The person in the meme says that what is up with black people they're not black, or people.",,The meme is advocating the destruction of the LGBT movement.,"Everyone, no matter their race, is equal.",The meme is trying to portray an offensive image for muslims as they are known to have sexual intercourse with goats.,"Black people aren't even that dark, or human.",H
"""democrats have a difficult time connecting with voters because of how smart we are... because we know so much."" ~ sen. mazie hirono (d hi).",It is an image of an Asian woman in glasses and a green blazer. There are no other human characteristics in the image. .,"It is an image of an Asian woman in glasses and a green blazer. There are no other human characteristics in the image. . The person in the meme says that ""democrats have a difficult time connecting with voters because of how smart we are... because we know so much."" ~ sen. mazie hirono (d hi).","Publicly claiming that you are very smart is likely to make it harder for you to connect with voters, since voters think you are gloating and looking down on them.",Democrats have a hard time connecting with voters because they come across as arrogant and condescending.,The author is saying that Democrats are not good at connecting with voters because they come across as arrogant and condescending.,Democrats are not good at connecting with voters because they think they are too smart.,Senator Mazie Hirono is alienating voters by saying voters are alienated because of how smart Democrats are in comparison to them.,N
when did you decide to gender swap? it started when i ls swapped my mustang.,It is an image of Caitlyn Jenner and Kim Kardashian standing next to each other.,It is an image of Caitlyn Jenner and Kim Kardashian standing next to each other. The author describes the image as when did you decide to gender swap? it started when i ls swapped my mustang.,I don't get this.,The meme is making a joke about gender swapping and car parts.,The meme is making fun of Caitlyn Jenner's gender transition and Kim Kardashian's fame.,Caitlyn Jenner used to be Bruce Jenner.,Caitlyn Jenner and Kim Kardashian are gender-swapped.,H
"bernie couldn't be more excited for his first day as a police officer he outright refused to accept his paycheck, insisting that being able to legally shoot black children is payment enough.",It is an image of Bernie from sesame street in a colorful room. .,"It is an image of Bernie from sesame street in a colorful room. . The person in the meme says that bernie couldn't be more excited for his first day as a police officer he outright refused to accept his paycheck, insisting that being able to legally shoot black children is payment enough.",Police brutality exists in this world and many people are killed daily because of it. ,Police officers are excited to shoot black children.,Police shoot black children legally due to racial bias and police brutality. ,It is okay for police officers to shoot black children.,Police officers enjoy killing black children.,N
dark humor is like him '' it never gets old.,It is an image of a child in a hospital bed.,It is an image of a child in a hospital bed. The author describes the image as dark humor is like him '' it never gets old.,1 dark humor is controversial but many find it funny. 2 if a child is sick they may die before they get old.,The child's dark humor is a reflection of their impending death.,"The author is saying that dark humor is always good by saying it ""never gets old"" but also uses it as a double entendre to make a dark joke about a sick child dying.",It's funny when children are sick because they might die before they get old.,It's funny when children are sick because they might not live long enough to grow old.,H
when you choke the hooker a little too hard and she dies this is where the fun begins,"In the image, a man is smiling towards the camera.","In the image, a man is smiling towards the camera. The author describes this image as, ""when you choke the hooker a little too hard and she dies"". The author then says, ""this is where the fun begins"".",,You can have more fun with the hooker's dead body.,The author is joking about a dangerous and illegal situation.,The meme is suggesting that the fun begins when someone accidentally kills a prostitute.,The meme is making fun of violence against women.,H
"what is that wonderful smell? it smells like.... caramel! oh, today we burnt the diabetics.",The first image is of caramel in a cup and in a jar surrounded by solid pieces of caramel on a table. The second image is of donuts on a grill above a fire.,"The first image is of caramel in a cup and in a jar surrounded by solid pieces of caramel on a table. The second image is of donuts on a grill above a fire. The author describes the image as what is that wonderful smell? it smells like.... caramel! oh, today we burnt the diabetics.","Diabetes is a disease characterized by increased blood sugar. When burned, sugar turns into caramel.","The meme is making fun of the smell of burnt sugar, which is reminiscent of caramel, and the fact that it's harmful to diabetics.","The meme is making fun of people with diabetes by suggesting that they are being burnt, which is a painful and harmful act.",This meme is a dark joke about the extra sugar in the blood of a diabetic person caramelizing.,"The meme is making a joke about burning diabetics, which is a sensitive topic.",H
going on vacation vs going back to work,"There are two pictures. The first shows a man and woman, either of whom could be Middle Eastern or white, smiling. The bottom picture shows an angry man raising his fist to a woman in a hijab. ","The first image shows how a couple acts on vacation, and the second shows how they act when its time to go back to work. ","In conservative Islamic culture, women play traditional household roles, which can be very demanding and demeaning from a Western viewpoint. ","The meme is highlighting the double standards in conservative Islamic culture, where women are expected to fulfill traditional roles while men are free to enjoy leisure activities.",Being a married Muslim woman is less than ideal. ,The meme is making fun of traditional gender roles in conservative Islamic culture.,The meme is suggesting that women in conservative Islamic culture are treated like slaves or servants.,H
well look at you i've never fingered a potato.,It is an image of the Pope holding a mentally disabled young girl.,It is an image of the Pope holding a mentally disabled young girl. The person in the meme says that well look at you i've never fingered a potato.,There is a history of sexual abuse of minors in the Catholic Church. Mentally disabled people are sometimes called potatoes.,The Pope is being compared to someone who would sexually abuse a mentally disabled person.,The Pope is going to sexually abuse this young girl.,The Pope is a pedophile.,The author is making a crude joke about the Pope sexually abusing the mentally disabled girl.,H
is your name winter? because you'll be coming soon.,It is an image of an elderly white man smiling at the viewer.,It is an image of an elderly white man smiling at the viewer. The author describes the image as is your name winter? because you'll be coming soon.,Winter in this case also refers to the season.,It is currently autumn but will become winter.,Winter is coming soon.,"The author is saying that the elderly man will be passing away soon, like the season of winter.",The meme is making fun of the elderly and their impending death.,N
when you are excited that a muslim has made it into american politics so the next phase of the caliphate can begin and destroy western civilization but you realize it is a woman.,It is an image of 2 Middle Eastern men crying. One of them is resting his hand on the other one's shoulder.,It is an image of 2 Middle Eastern men crying. One of them is resting his hand on the other one's shoulder. The author describes the image as when you are excited that a muslim has made it into american politics so the next phase of the caliphate can begin and destroy western civilization but you realize it is a woman.,1. Understanding of the concept of the Caliphate and its historical significance in Islamic history. 2. Understanding the sexist view of women that many Islamic groups have. 3. Understanding the charred relations between the Middle East and the US.,"The meme is expressing disappointment that a Muslim woman has entered American politics, as it does not fit the narrative of the caliphate and the destruction of Western civilization.","Women should not be in politics, especially if they are Muslim.","The author is expressing disappointment that a Muslim woman has entered American politics, as they believe it will lead to the destruction of Western civilization.",The Muslim woman elected into US politics is unable to help Islamic terrorists achieve their goals.,H
666 6 protons 6 neutrons 6 elektrons 666 is the chemical make up of black people! not any beast... unlearn their bullshit !.,It is an image of an African American man with a beard wearing a scarf. .,It is an image of an African American man with a beard wearing a scarf. . The author describes the image as 666 6 protons 6 neutrons 6 elektrons 666 is the chemical make up of black people! not any beast... unlearn their bullshit !.,"The number 666 is often associated with superstitions and negative connotations in various cultures. In Christianity 666 is often interpreted as referring to the ""Number of the Beast"" associated with the Devil or Satan.","The author is trying to say that 666 is not associated with the Beast, namely Satan or the Devil, but instead with the chemical makeup of black people.",The author is trying to make a racist joke by associating African Americans with the number 666 and superstitions.,Black people are associated with evil and the number 666.,Black people are evil or associated with the devil.,N
i should not be expected to pledge allegiance to any country including america.,"The image shows a Ilhan Omar, an Islamic politician, speaking to some microphones.","The image shows a Ilhan Omar, an Islamic politician, speaking to some microphones. The author describes the image as i should not be expected to pledge allegiance to any country including america.",Ilhan Omar is a progressive politician who is Muslim.  The Pledge of Allegiance is a pledge often spoken by Americans to declare their support for their country.,"The meme says that the Pledge of Allegiance should not be required of Americans, nor any other similar pledge for any other country.",The author is saying that Ilhan Omar doesn't believe in pledging allegiance to America.,The meme is suggesting that Ilhan Omar is unpatriotic because she is Muslim.,Ilhan Omar does not support the Pledge of Allegiance.,N
dad: we need to tell you something.. your mother and i are siblings alabama kids:.,it is a picture of a child with two deformed hands holding a biscuit.,it is a picture of a child with two deformed hands holding a biscuit. The person in the meme says that dad: we need to tell you something.. your mother and i are siblings alabama kids:.,1 there is a harmful stereotype about people from alabama that states that they love to inbreed,The child was born from an incestuous relationship between the mother and father.,the author is poking fun at the stereotype that people from alabama are more prone to doing incest.,People from Alabama are inbred and have genetic disorders.,People from Alabama are inbred and have deformed children.,H
"""car salesman roof of car"".","It is an image of a family, consisting of a man, a woman, and a child, looking into a car as they are shown a folder by a car salesman. Most of the characters are Caucasian.","It is an image of a family, consisting of a man, a woman, and a child, looking into a car as they are shown a folder by a car salesman. Most of the characters are Caucasian. The author describes the image as ""car salesman roof of car"".",There is a meme where a car salesman is showing someone else a car and slaps it.,The meme is making fun of the stereotype that car salesmen are dishonest.,"The author is making a joke about the car salesman slapping the roof of the car, which is a reference to the other meme.",The car salesman is trying to convince the family to buy the car.,This is a reference to the meme where a car salesman slaps the roof of a car. ,N
when your dive instructor starts yelling in arabic.,"It is an image of a woman and a man skydiving. The man, who is the instructor, is wearing sunglasses and a parachute and is yelling. The woman attached to the man and is screaming.","It is an image of a woman and a man skydiving. The man, who is the instructor, is wearing sunglasses and a parachute and is yelling. The woman attached to the man and is screaming. The author describes the image as when your dive instructor starts yelling in arabic.",There is a negative stereotype of people who speak Arabic being terrorists. Paratroopers in militaries or terrorist organizations skydive.,The meme is making fun of the stereotype that people who speak Arabic are terrorists.,People who speak Arabic are terrorists.,The meme is perpetuating the stereotype that people who speak Arabic are dangerous.,The Arabic-speaking dive instructor is a terrorist.,H
"""a group of fish is called a school."" americans:",It is an image of a man wearing an orange jacket pointing a gun towards a lake in the woods.,"The image uses a quote that says, ""a group of fish is called a school,"" and symbolizes the orange man in the jacket shooting towards the lake as ""american.""",There are many school shootings that occur in America.,The meme is making light of the serious issue of school shootings in America.,America is a dangerous place with many school shootings.,The author is trying to use juxtaposition to convey the message that americans do school shootings. This is generalizing americans as school shooters and discriminatory against americans.,School shootings are a normal part of American culture.,H
donald trump wall cop or muslims no mexicans don't mess with his wall!., It is an image of 2016 presidential candidate Donald Trump giving a speech. ., It is an image of 2016 presidential candidate Donald Trump giving a speech. . The author describes the image as donald trump wall cop or muslims no mexicans don't mess with his wall!.,"During his presidency, Donald Trump advocated for the construction of a border wall along the U.S.-Mexico border as a central part of his immigration policy. ",Donald Trump's immigration policy is focused on excluding certain groups from entering the United States.,"The author jokingly talks about Donald Trump being a ""wall cop"" as Trump is very cautious and careful when it comes to matters that might disturb the wall. This meme seems to target specifically Mexicans and Muslims in relation to immigration, which is discriminatory and racist.",Donald Trump's immigration policy is based on discrimination and exclusion.,Donald Trump's wall policy is meant to keep out Mexicans.,N
when you realize you're pregnant because you pull out your tampon but all the cotton was mysteriously picked off.,It is an image of a young African American woman holding a pregnancy test.,It is an image of a young African American woman holding a pregnancy test. The author describes the image as when you realize you're pregnant because you pull out your tampon but all the cotton was mysteriously picked off.,"Zillow, a real estate company, made a joke that a black woman can tell if she is pregnant if she pulls out her tampon and all the cotton has been picked off. / Black people in the United States routinely pick cotton as slaves.",The meme is making fun of a racially insensitive joke.,Black women are so connected to cotton picking they can use it as a pregnancy test.,Black women are pregnant because they pick cotton.,The meme is making a racist joke about black women and pregnancy.,H
"in space, reverse cowgirl and doggy style are the same position.",The top picture is Neil deGrasse Tyson giving a speech into a microphone. The bottom image is an image of space.,"The top picture is Neil deGrasse Tyson giving a speech into a microphone. The bottom image is an image of space. The person in the meme says that in space, reverse cowgirl and doggy style are the same position.",The understanding behind who Neil deGrasse Tyson is and his importance in astronomy and space. The understanding behind how the position of reverse cowgirl and doggy style are related in sexual position wise.  ,The meme is making a joke about how space affects sexual positions.,The meme is making fun of Neil deGrasse Tyson and his knowledge about space by connecting it to a sexual position.,The image is inferring that in space since everything is floating so reverse cowgirl position could be seen both ways as doggy too.,"The author is making a joke about how the positions are the same in space, as there is no up or down.",N
this is me not having any white guilt.,The image contains a smiling white man in business casual clothing standing in a field of grass with his arms in a crucifix position.,The image contains a smiling white man in business casual clothing standing in a field of grass with his arms in a crucifix position. The person in the meme says that this is me not having any white guilt.,1. Understanding of the modern discourse around “white guilt” and its criticisms,The meme is making fun of the concept of white guilt and suggesting that the person in the meme does not feel guilty for being white.,The meme is trying to convey that the person in the image does not feel any guilt or responsibility for the historical and ongoing effects of systemic racism and white privilege.,White guilt is a toxic feeling and being free of it makes you happy.,The meme is suggesting that the person in the image is not experiencing any guilt or remorse for the privilege that comes with being white.,N
england where moslems can rape your children and reporting it is a crime.,It is an image of Paris during winter while it is snowing.,It is an image of Paris during winter while it is snowing. The author describes the image as england where moslems can rape your children and reporting it is a crime.,Muslims face worldwide discrimination.,Muslims are dangerous and should be feared.,"The author is trying to convey a message that in England, Muslims are allowed to commit crimes, specifically child rape, without consequences, and that reporting such crimes is considered a crime itself. This message is likely intended to promote fear and negative stereotypes about Muslims and the legal system in England.",Muslims are dangerous and should not be trusted.,Muslims are allowed to rape children in England and reporting it is a crime.,H
if theres even one homeless child in america we have no room for illegal aliens.,An image of a homeless child.,An image of a homeless child. The author describes the image as if theres even one homeless child in america we have no room for illegal aliens.,There are homeless children in America. Some people illegally immigrate to America.,We should not allow illegal immigrants in America until we take care of homeless children.,Illegal immigrants are not welcome in America.,"The author believes that if there are homeless children in America, we should not allow illegal immigrants into the country.",We should focus on helping homeless children in America before allowing illegal immigrants to enter the country.,H
greetings tranny time to die.,It is an image of a man sitting in a chair holding a cell phone and a dog while smiling at the phone. .,It is an image of a man sitting in a chair holding a cell phone and a dog while smiling at the phone. . The author describes the image as greetings tranny time to die.,Tranny is a term used for transgender individuals. ,Transgender people deserve to die because they aren't being ideal. ,The author is mocking transgender individuals.,Transgender individuals are not real and should be disrespected.,The author is making fun of transgender individuals.,H
"hey there delilah, what's it like in new york city.",It is an image of white woman playing an acoustic guitar on a couch. .,"It is an image of white woman playing an acoustic guitar on a couch. . The author describes the image as hey there delilah, what's it like in new york city.","""Hey There Delilah"" by the Plain White T's is a popular song about long distance relationships. New York City is a very big city with lots of attractions. ","The meme is making a joke about the song ""Hey There Delilah"" and the woman's location in New York City.","The meme is making fun of the song ""Hey There Delilah"" and the idea of a long distance relationship.",The author of the song misses his relationship partner as they are doing long distance. ,The author is asking the woman in the image about her experiences in New York City.,N
kids may be a gift but i like playing with the box they came in!.,"This is a picture of famous actor Leonardo DiCaprio, a white man. There are no religions or sexual orientations shown. .","This is a picture of famous actor Leonardo DiCaprio, a white man. There are no religions or sexual orientations shown. . The person in the meme says that kids may be a gift but i like playing with the box they came in!.","This requires understanding that kids are viewed as positive factors in their parents' lives and understanding that ""box"" is slang for vagina, which is where kids come from and an object of sexual interest for most men. ",The author likes playing with vaginas. ,The meme is making a crude joke about sex and children.,The meme is making a crude joke about the actor's sexuality and his preference for women.,Leonardo DiCaprio is a man who enjoys sex with women.,N
breaking: rep. ilhan omar broke federal tax law she filed her taxes jointly with a man to whom she was not legally married.,It is an image of Ilhan Omar wearing a purple hijab.,It is an image of Ilhan Omar wearing a purple hijab. The author describes the image as breaking: rep. ilhan omar broke federal tax law she filed her taxes jointly with a man to whom she was not legally married.,"An investigation also found that in 2014 and 2015 Omar had jointly filed taxes with a man she was not legally married to, which is not permitted in her state of Minnesota.",Ilhan Omar broke the law by filing her taxes jointly with a man to whom she was not legally married.,Ilhan Omar is a criminal because she broke federal tax law.,The author intends to inform people that Ilhan Omar violated tax law.,Ilhan Omar broke federal tax law by filing her taxes jointly with a man to whom she was not legally married.,N
